dt	pCa	delta_hsl	mode
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
